Time,Voltage,Current,Power,Energy,Cost,Alert
2026-06-09 18:16:36.196711,230,0.6366106160635968,146.42044169462727,4.067234491517425e-05,0.00024403406949104547,OK
2026-06-09 18:16:38.197761,230,0.8125232408418179,186.88034539361811,9.258355196895706e-05,0.0005555013118137424,OK
2026-06-09 18:16:40.198224,230,4.564583117576484,1049.8541170425915,0.0003842096955918991,0.0023052581735513947,HIGH
2026-06-09 18:16:42.199287,230,2.404191907903119,552.9641388177173,0.0005378108452634872,0.0032268650715809232,OK
2026-06-09 18:16:44.199591,230,3.3558766610244475,771.851632035623,0.0007522140763844936,0.004513284458306962,OK
2026-06-09 18:16:46.200349,230,4.907602776247092,1128.748638536831,0.0010657553648669468,0.006394532189201681,HIGH
2026-06-09 18:16:48.201181,230,0.7555708993961142,173.78130686110626,0.001114027950106143,0.006684167700636857,OK
2026-06-09 18:16:50.201826,230,1.278225135300151,293.9917811190347,0.0011956923337503192,0.007174154002501916,OK
2026-06-09 18:16:52.202561,230,2.317106780813644,532.9345595871381,0.001343729711413413,0.00806237826848048,OK
2026-06-09 18:16:54.203408,230,4.311124827419349,991.5587103064504,0.001619162686498538,0.009714976118991228,HIGH
2026-06-09 18:16:56.204234,230,2.627073178836883,604.2268311324831,0.0017870034729242279,0.010722020837545367,OK
2026-06-09 18:16:58.204931,230,1.4728897583787712,338.7646444271174,0.0018811047630428717,0.01128662857825723,OK
2026-06-09 18:17:00.205297,230,1.605883021930487,369.353095044012,0.0019837028449995416,0.01190221706999725,OK
2026-06-09 18:17:02.205886,230,3.8781642041438897,891.9777669530946,0.002231474446930957,0.013388846681585742,HIGH
2026-06-09 18:17:04.206356,230,3.618675676401947,832.2954055724479,0.0024626676151455256,0.014776005690873154,HIGH
2026-06-09 18:17:06.207006,230,3.9443370735521257,907.1975269169889,0.0027146669281780224,0.016288001569068136,HIGH
2026-06-09 18:17:08.207507,230,4.265652100409284,981.0999830941353,0.002987194701259727,0.017923168207558363,HIGH
